Organism,Genome File,Annotation File
Arabidopsis thaliana,http://ftp.ensemblgenomes.org/pub/plants/release-48/fasta/arabidopsis_thaliana/dna/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/plants/release-48/gtf/arabidopsis_thaliana/Arabidopsis_thaliana.TAIR10.48.gtf.gz
Bacillus subtilis,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/fasta/bacteria_0_collection/bacillus_subtilis_subsp_subtilis_str_168/dna/Bacillus_subtilis_subsp_subtilis_str_168.ASM904v1.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/gtf/bacteria_0_collection/bacillus_subtilis_subsp_subtilis_str_168/Bacillus_subtilis_subsp_subtilis_str_168.ASM904v1.48.gtf.gz
Brassica rapa,http://ftp.ensemblgenomes.org/pub/plants/release-48/fasta/brassica_rapa/dna/Brassica_rapa.Brapa_1.0.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/plants/release-48/gtf/brassica_rapa/Brassica_rapa.Brapa_1.0.48.gtf.gz
Drosophila melanogaster,http://ftp.ensembl.org/pub/release-101/fasta/drosophila_melanogaster/dna/Drosophila_melanogaster.BDGP6.22.dna.toplevel.fa.gz,http://ftp.ensembl.org/pub/release-101/gtf/drosophila_melanogaster/Drosophila_melanogaster.BDGP6.22.101.gtf.gz
ERCC,https://assets.thermofisher.com/TFS-Assets/LSG/manuals/ERCC92.zip (Note itÕs theÊERCC92.fa file in the zipped directory),https://assets.thermofisher.com/TFS-Assets/LSG/manuals/ERCC92.zip (Note itÕs theÊERCC92.gtf file in the zipped directory)
Escherichia coli,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/fasta/bacteria_159_collection/escherichia_coli_gca_001284565/dna/Escherichia_coli_gca_001284565.7790_1_86.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/gtf/bacteria_159_collection/escherichia_coli_gca_001284565/Escherichia_coli_gca_001284565.7790_1_86.48.gtf.gz
Homo sapiens,http://ftp.ensembl.org/pub/release-101/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,http://ftp.ensembl.org/pub/release-101/gtf/homo_sapiens/Homo_sapiens.GRCh38.101.gtf.gz
Mus musculus,http://ftp.ensembl.org/pub/release-101/fasta/mus_musculus/dna/Mus_musculus.GRCm38.dna.primary_assembly.fa.gz,http://ftp.ensembl.org/pub/release-101/gtf/mus_musculus/Mus_musculus.GRCm38.101.gtf.gz
Mycobacterium marinum,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/fasta/bacteria_8_collection/mycobacterium_marinum_m/dna/Mycobacterium_marinum_m.ASM1834v1.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/gtf/bacteria_8_collection/mycobacterium_marinum_m/Mycobacterium_marinum_m.ASM1834v1.48.gtf.gz
Oryzias latipes,http://ftp.ensembl.org/pub/release-101/fasta/oryzias_latipes/dna/Oryzias_latipes.ASM223467v1.dna.toplevel.fa.gz,http://ftp.ensembl.org/pub/release-101/gtf/oryzias_latipes/Oryzias_latipes.ASM223467v1.101.gtf.gz
Staphylococcus aures,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/fasta/bacteria_88_collection/staphylococcus_aureus_subsp_aureus_gca_000788115/dna/Staphylococcus_aureus_subsp_aureus_gca_000788115.ASM78811v1.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/gtf/bacteria_88_collection/staphylococcus_aureus_subsp_aureus_gca_000788115/Staphylococcus_aureus_subsp_aureus_gca_000788115.ASM78811v1.48.gtf.gz
Streptococcus mutans,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/fasta/bacteria_12_collection/streptococcus_mutans_ua159/dna/Streptococcus_mutans_ua159.ASM746v2.dna.toplevel.fa.gz,http://ftp.ensemblgenomes.org/pub/bacteria/release-48/gtf/bacteria_12_collection/streptococcus_mutans_ua159/Streptococcus_mutans_ua159.ASM746v2.48.gtf.gz
